Year,oshpd_id,FACILITY_NAME,COUNTY_NAME,Type_Of_Control,ED_Level,Source,Principal Diagnosis Group,Count
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,All Pregnancies,176
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Blood/Blood-forming Organs,42
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Circulatory,244
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Congenital Anomalies (Birth Defects),2
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Digestive,738
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Endocrine/Metabolism,219
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Genitourinary,671
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Infections,216
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Injuries/Drugs/Complications,3536
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Musculoskeletal,1078
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Neoplasms,18
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Nervous & Sensory Systems,712
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Other Reasons for Health Services,847
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Perinatal Disorders,1
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Psychoses & Neurosis,668
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Respitory,1154
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Skin Disorders,668
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Symptoms,3036
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Invalid,1
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,All Pregnancies,2
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Blood/Blood-forming Organs,44
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Circulatory,426
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Digestive,360
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Endocrine/Metabolism,119
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Genitourinary,141
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Infections,259
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Injuries/Drugs/Complications,167
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Musculoskeletal,48
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Neoplasms,52
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Nervous & Sensory Systems,40
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Other Reasons for Health Services,7
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Psychoses & Neurosis,47
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Respitory,321
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Skin Disorders,86
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Symptoms,91
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Congenital Anomalies (Birth Defects),4
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,All Pregnancies,1990
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Blood/Blood-forming Organs,225
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Circulatory,1036
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Congenital Anomalies (Birth Defects),7
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Digestive,2062
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Endocrine/Metabolism,612
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Genitourinary,2396
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Infections,847
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Injuries/Drugs/Complications,8138
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Musculoskeletal,2805
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Neoplasms,96
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Nervous & Sensory Systems,1763
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Other Reasons for Health Services,1317
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Perinatal Disorders,28
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Psychoses & Neurosis,3445
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Respitory,2770
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Skin Disorders,1678
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Symptoms,8628
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Invalid,1
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,All Pregnancies,224
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Blood/Blood-forming Organs,174
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Circulatory,824
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Digestive,891
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Endocrine/Metabolism,240
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Genitourinary,276
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Infections,838
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Injuries/Drugs/Complications,514
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Musculoskeletal,102
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Neoplasms,164
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Nervous & Sensory Systems,160
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Other Reasons for Health Services,8
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Psychoses & Neurosis,118
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Respitory,431
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Skin Disorders,125
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Symptoms,254
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Births,2
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Perinatal Disorders,4
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,All Pregnancies,32
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Blood/Blood-forming Organs,190
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Circulatory,60
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Congenital Anomalies (Birth Defects),53
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Digestive,2057
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Endocrine/Metabolism,170
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Genitourinary,952
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Infections,2924
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Injuries/Drugs/Complications,7356
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Musculoskeletal,1204
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Neoplasms,30
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Nervous & Sensory Systems,2893
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Other Reasons for Health Services,1041
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Perinatal Disorders,140
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Psychoses & Neurosis,385
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Respitory,6644
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Skin Disorders,1621
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Symptoms,9384
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Births,1
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Invalid,2
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Blood/Blood-forming Organs,366
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Circulatory,69
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Digestive,829
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Endocrine/Metabolism,296
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Genitourinary,320
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Infections,400
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Injuries/Drugs/Complications,1204
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Musculoskeletal,147
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Neoplasms,81
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Nervous & Sensory Systems,235
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Other Reasons for Health Services,24
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Psychoses & Neurosis,34
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Respitory,2124
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Skin Disorders,286
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Symptoms,452
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Births,2
