County Code,Perm ID,Facility Name,Building Nbr,Building Name,Building Status,SPC Rating *,Building URL,Height (ft),Stories,Building Code,Building Code Year,Year Completed,Count,Location 1
01 - Alameda,11210,Alameda Hospital,BLD-01278,Original Hospital,In Service,1,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=26HIS&capID2=00000&capID3=00002&agencyCode=OSHPD,44.17,4,Unknown,,1926,1,"Alameda
(37.7626572, -122.2538986)"
01 - Alameda,11210,Alameda Hospital,BLD-01279,Stephens Wing,In Service,1,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=56HIS&capID2=00000&capID3=00012&agencyCode=OSHPD,35,3,1952 Uniform Building Code (UBC),1952,1956,1,"Alameda
(37.7626572, -122.2538986)"
01 - Alameda,11210,Alameda Hospital,BLD-01280,West Wing,In Service,2,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=68HIS&capID2=00000&capID3=00036&agencyCode=OSHPD,,2,1964 Uniform Building Code (UBC),1964,1968,1,"Alameda
(37.7626572, -122.2538986)"
01 - Alameda,11210,Alameda Hospital,BLD-01281,South Wing,In Service,3s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=83HIS&capID2=00000&capID3=00027&agencyCode=OSHPD,,3,1976 California Building Code (CBC),1976,1983,1,"Alameda
(37.7626572, -122.2538986)"
01 - Alameda,11210,Alameda Hospital,BLD-01282,Radiology Addition,In Service,5s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=95HIS&capID2=00000&capID3=00031&agencyCode=OSHPD,,2,1985 California Building Code (CBC),1985,1995,1,"Alameda
(37.7626572, -122.2538986)"
01 - Alameda,11210,Alameda Hospital,BLD-01283,Medical Gas Storage,In Service,3s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=95HIS&capID2=00000&capID3=00032&agencyCode=OSHPD,,1,1985 California Building Code (CBC),1985,1995,1,"Alameda
(37.7626572, -122.2538986)"
01 - Alameda,11210,Alameda Hospital,BLD-02630,Compactor Shed,In Service,4,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=83HIS&capID2=00000&capID3=00048&agencyCode=OSHPD,,1,1979 California Building Code (CBC),1979,1983,1,"Alameda
(37.7626572, -122.2538986)"
01 - Alameda,11210,Alameda Hospital,BLD-03120,Emergency Room Relocation,In Service,3s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=87HIS&capID2=00000&capID3=00045&agencyCode=OSHPD,,1,1979 California Building Code (CBC),1979,1987,1,"Alameda
(37.7626572, -122.2538986)"
01 - Alameda,11210,Alameda Hospital,BLD-05597,LOX Tank,Under Construction,N/A,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=13CAP&capID2=00000&capID3=003TM&agencyCode=OSHPD,,,2010 California Building Code (CBC),2010,,1,"Alameda
(37.7626572, -122.2538986)"
01 - Alameda,11322,Alta Bates Summit Medical Center,BLD-00695,Ehman Building,In Service,2,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=37HIS&capID2=00000&capID3=00001&agencyCode=OSHPD,49.75,4,1927 Uniform Building Code (UBC),1927,1937,1,"Oakland
(37.8208094, -122.2630806)"
01 - Alameda,11322,Alta Bates Summit Medical Center,BLD-00696,North Wing,In Service,2,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=52HIS&capID2=00000&capID3=00004&agencyCode=OSHPD,50,4,1946 Uniform Building Code (UBC),1946,1952,1,"Oakland
(37.8208094, -122.2630806)"
01 - Alameda,11322,Alta Bates Summit Medical Center,BLD-00698,East Wing,In Service,1,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=64HIS&capID2=00000&capID3=00015&agencyCode=OSHPD,62.5,5,1961 Uniform Building Code (UBC),1961,1964,1,"Oakland
(37.8208094, -122.2630806)"
01 - Alameda,11322,Alta Bates Summit Medical Center,BLD-00699,Original West Wing,In Service,1,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=45HIS&capID2=00000&capID3=00001&agencyCode=OSHPD,82.17,7,1943 Uniform Building Code (UBC),1943,1945,1,"Oakland
(37.8208094, -122.2630806)"
01 - Alameda,11322,Alta Bates Summit Medical Center,BLD-00700,West Service Wing - Building 1,In Service,1,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=64HIS&capID2=00000&capID3=00016&agencyCode=OSHPD,85,7,1961 Uniform Building Code (UBC),1961,1965,1,"Oakland
(37.8208094, -122.2630806)"
01 - Alameda,11322,Alta Bates Summit Medical Center,BLD-00701,Physio-Therapy Building,In Service,2,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=60HIS&capID2=00000&capID3=00012&agencyCode=OSHPD,12,1,1952 Uniform Building Code (UBC),1952,1960,1,"Oakland
(37.8208094, -122.2630806)"
01 - Alameda,11322,Alta Bates Summit Medical Center,BLD-00702,Original Emergency Wing,In Service,2,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=60HIS&capID2=00000&capID3=00013&agencyCode=OSHPD,12,1,1952 Uniform Building Code (UBC),1952,1960,1,"Oakland
(37.8208094, -122.2630806)"
01 - Alameda,11322,Alta Bates Summit Medical Center,BLD-00703,Special Procedures Addition,In Service,3,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=74HIS&capID2=00000&capID3=00012&agencyCode=OSHPD,,1,1973 California Building Code (CBC),1973,1974,1,"Oakland
(37.8208094, -122.2630806)"
01 - Alameda,11322,Alta Bates Summit Medical Center,BLD-00704,Emergency Department Expansion,In Service,5s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=01HIS&capID2=00000&capID3=00013&agencyCode=OSHPD,,1,1995 California Building Code (CBC),1995,2002,1,"Oakland
(37.8208094, -122.2630806)"
01 - Alameda,11322,Alta Bates Summit Medical Center,BLD-00705,Cogeneration Building,In Service,4s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=90HIS&capID2=00000&capID3=00024&agencyCode=OSHPD,,1,1982 California Building Code (CBC),1982,1990,1,"Oakland
(37.8208094, -122.2630806)"
01 - Alameda,11322,Alta Bates Summit Medical Center,BLD-00706,Emergency Generator Building,In Service,4,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=80HIS&capID2=00000&capID3=00499&agencyCode=OSHPD,,2,1973 California Building Code (CBC),1973,1982,1,"Oakland
(37.8208094, -122.2630806)"
01 - Alameda,11322,Alta Bates Summit Medical Center,BLD-00707,Transformer Building,In Service,2,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=69HIS&capID2=00000&capID3=00013&agencyCode=OSHPD,21.7,2,1961 Uniform Building Code (UBC),1961,1969,1,"Oakland
(37.8208094, -122.2630806)"
